2,0,U01761,Adarsh Nagar / Bharola Village,0101000020E6100000CD3D247CEF4A534083A6255646B73C40,28.715917,77.170867
3,1,DC4248,British High Comission,0101000020E6100000AA807B9E3F4C5340A7936C7539993C40,28.598533,77.191383
4,2,U02398,Azad Market,0101000020E6100000211FF46C564D5340B5A679C729AA3C40,28.6647,77.2084
5,3,U02416,Kidwai Nagar,0101000020E6100000287E8CB96B4D5340A54E401361933C40,28.5757,77.2097
6,4,DC4271,Rashid Market,0101000020E61000005DDE1CAED5515340F5DBD78173A63C40,28.6502,77.278667
7,5,U03074,Nehru Nagar,0101000020E6100000AA807B9E3F505340B6847CD0B3913C40,28.56915,77.253883
8,6,U02904,Sunder Nagar,0101000020E6100000567DAEB6624F53406118B0E42A9A3C40,28.602217,77.2404
9,7,DC4225,Suraj Mal Vihar,0101000020E6100000EC3191D26C5353409966BAD749A93C40,28.661283,77.303517
10,8,U02563,National Archives,0101000020E6100000448B6CE7FB4D5340E8D9ACFA5C9D3C40,28.6147,77.2185
11,9,U02922,Darya Ganj,0101000020E6100000567DAEB6624F53403E28A3B765A53C40,28.6460833333333,77.2404
12,10,U00314,Nangli Sakrawati,0101000020E61000009C33A2B43740534031EE06D15A9D3C40,28.614667,77.0034
13,11,U01623,B-4 Keshav Puram,0101000020E610000066666666664A5340645DDC4603B03C40,28.68755,77.1625
14,12,U99637,Bawana Village,0101000020E610000095D6DF12804253403F1BB96E4ACD3C40,28.801917,77.039067
15,13,U00086,Mitraon Village,0101000020E6100000B4942C27A13C53408600E0D8B39B3C40,28.608213,76.947336
16,14,U03518,Hargovind Enclave,0101000020E6100000BEA1F0D93A5353403F1BB96E4AA53C40,28.645667,77.300467
17,15,U00193,NajafGarh Dhansa Stand,0101000020E6100000431EC18D943E5340068195438B9C3C40,28.6115,76.977817
18,16,U03678,Super Bazar,0101000020E6100000B1BFEC9E3C54534069006F81049D3C40,28.61335,77.3162
19,17,U99639,Kapashera Crossing,0101000020E6100000643BDF4F8D45534003EFE4D363873C40,28.528867,77.08675
20,18,U03409,Batla House,0101000020E6100000AED85F764F5253401EFCC401F48F3C40,28.562317,77.2861
21,19,U00429,Karala Village,0101000020E6100000EE7C3F355E4253402506819543BB3C40,28.7315,77.037
22,20,U00786,Manglapuri / Palam Village,0101000020E61000009D8026C2864553403B520275DD963C40,28.5893166666667,77.08635
23,21,U02926,Delhi Gate (JLN Marg),0101000020E6100000823B50A73C4F5340B5A7E49CD8A33C40,28.640024,77.238077
24,22,U00828,Udyog Nagar,0101000020E610000019E25817B745534003780B2428AE3C40,28.6803,77.0893
25,23,U01798,Ashok Vihar Water Tank,0101000020E61000003E59315C1D4B5340C9CB9A58E0AF3C40,28.687017,77.173667
26,24,DC4148,Centaur Hotel / New Custom House,0101000020E6100000B4AED172A0465340477364E5978D3C40,28.553099,77.103543
27,25,DC3956,Bhagwan Mahavir Hospital,0101000020E610000081069B3A8F47534049145AD6FDAF3C40,28.687467,77.118117
28,26,U03522,Badarpur Village,0101000020E610000021AE9CBD335353409D66817687803C40,28.502067,77.300033
29,27,U03766,Mayur Vihar Phase 3 Crossing,0101000020E61000001E166A4DF354534099BB96900F9A3C40,28.6018,77.32735
30,28,DC4394,Ranhola Extension,0101000020E6100000EBC891CEC042534099D711876CA83C40,28.657906,77.043018
