vehicle_id,trip_id,route_id,latitude,longitude,speed,timestamp,humantime,feed time
DL1PC5389,10132,368,28.57232093811035,77.25770568847656,1.9444444179534912,1561195960,2019-06-22 15:02:40,2019-06-22 15:13:47
DL1PD2515,13089,450,28.670522689819336,77.26509094238281,0.0,1561196618,2019-06-22 15:13:38,2019-06-22 15:13:47
DL1PD0240,11856,414,28.590131759643555,77.08561706542969,0.8333333134651184,1561196620,2019-06-22 15:13:40,2019-06-22 15:13:47
DL1PD1012,4656,182,28.609216690063477,77.09921264648438,1.3888888359069824,1561196612,2019-06-22 15:13:32,2019-06-22 15:13:47
DL1PD3618,311,6,28.660337448120117,77.23160552978516,0.5555555820465088,1561196617,2019-06-22 15:13:37,2019-06-22 15:13:47
DL1PC6358,11069,398,28.515466690063477,77.22750854492188,0.0,1561196621,2019-06-22 15:13:41,2019-06-22 15:13:47
DL1PC5285,9531,357,28.605928421020508,77.21036529541016,2.222222328186035,1561196616,2019-06-22 15:13:36,2019-06-22 15:13:47
DL1PC6772,15373,510,28.61748695373535,77.11100006103516,0.8333333134651184,1561196621,2019-06-22 15:13:41,2019-06-22 15:13:47
DL1PD1697,11672,410,28.613597869873047,77.21208953857422,1.1111111640930176,1561196617,2019-06-22 15:13:37,2019-06-22 15:13:47
DL1PD1447,8018,301,28.719453811645508,77.08454895019531,0.0,1561196616,2019-06-22 15:13:36,2019-06-22 15:13:47
DL1PC6840,6250,225,28.610816955566406,77.09890747070312,1.6666666269302368,1561196614,2019-06-22 15:13:34,2019-06-22 15:13:47
DL1PD3636,14830,484,28.60401153564453,77.22557830810547,1.6666666269302368,1561196623,2019-06-22 15:13:43,2019-06-22 15:13:47
DL1PD0680,5287,197,28.661333084106445,77.09178161621094,2.5,1561196616,2019-06-22 15:13:36,2019-06-22 15:13:47
DL1PD2475,13352,458,28.672964096069336,77.2808609008789,2.222222328186035,1561196615,2019-06-22 15:13:35,2019-06-22 15:13:47
DL1PD0131,11639,409,28.607791900634766,77.2095718383789,2.777777671813965,1561196618,2019-06-22 15:13:38,2019-06-22 15:13:47
DL1PC6374,11237,399,28.520538330078125,77.20252227783203,0.5555555820465088,1561196620,2019-06-22 15:13:40,2019-06-22 15:13:47
DL1PD2361,1098,33,28.67203140258789,77.23741149902344,3.055555582046509,1561196555,2019-06-22 15:12:35,2019-06-22 15:13:47
DL1PC5475,8335,320,28.660137176513672,77.23133850097656,0.0,1561196616,2019-06-22 15:13:36,2019-06-22 15:13:47
DL1PC6135,9999,367,28.546911239624023,77.27754974365234,2.777777671813965,1561196614,2019-06-22 15:13:34,2019-06-22 15:13:47
DL1PD0549,12410,428,28.70307159423828,77.26844787597656,2.222222328186035,1561196605,2019-06-22 15:13:25,2019-06-22 15:13:47
DL1PD2759,1871,66,28.589338302612305,77.0863265991211,0.0,1561196617,2019-06-22 15:13:37,2019-06-22 15:13:47
